# t,event_type,mode,packet_id
2.44,plantsend,1,122
2.44927,controllerreceive,1,122
2.45824,plantreceive,1,122
2.46,plantsend,1,123
2.46829,controllerreceive,1,123
2.47713,plantreceive,1,123
2.48,plantsend,1,124
2.48829,controllerreceive,1,124
2.49721,plantreceive,1,124
2.5,plantsend,1,125
2.50976,controllerreceive,1,125
2.51854,plantreceive,1,125
2.52,plantsend,1,126
2.52847,controllerreceive,1,126
2.53745,plantreceive,1,126
2.54,plantsend,1,127
2.54914,controllerreceive,1,127
2.55796,plantreceive,1,127
2.56,plantsend,1,128
2.56784,controllerreceive,1,128
2.57675,plantreceive,1,128
2.58,plantsend,1,129
2.58944,controllerreceive,1,129
2.59822,plantreceive,1,129
2.6,plantsend,1,130
2.60755,controllerreceive,1,130
2.61444,plantreceive,1,130
2.62,plantsend,1,131
2.6282,controllerreceive,1,131
2.63711,plantreceive,1,131
2.64,plantsend,1,132
2.64964,controllerreceive,1,132
2.65852,plantreceive,1,132
2.66,plantsend,1,133
2.66959,controllerreceive,1,133
2.67858,plantreceive,1,133
2.68,plantsend,1,134
2.68907,controllerreceive,1,134
2.69783,plantreceive,1,134
2.7,plantsend,1,135
2.70986,controllerreceive,1,135
2.71865,plantreceive,1,135
2.72,plantsend,1,136
2.7282,controllerreceive,1,136
2.73706,plantreceive,1,136
2.74,plantsend,1,137
2.74987,controllerreceive,1,137
2.75886,plantreceive,1,137
2.76,plantsend,1,138
2.76833,controllerreceive,1,138
2.77717,plantreceive,1,138
2.78,plantsend,1,139
2.78826,controllerreceive,1,139
2.79711,plantreceive,1,139
2.8,plantsend,1,140
2.81003,controllerreceive,1,140
2.81877,plantreceive,1,140
2.82,plantsend,1,141
2.83015,controllerreceive,1,141
2.83919,plantreceive,1,141
2.84,plantsend,1,142
2.84824,controllerreceive,1,142
2.85719,plantreceive,1,142
2.86,plantsend,1,143
2.86797,controllerreceive,1,143
2.87676,plantreceive,1,143
2.88,plantsend,1,144
2.88888,controllerreceive,1,144
2.89769,plantreceive,1,144
2.9,plantsend,1,145
2.90925,controllerreceive,1,145
2.91799,plantreceive,1,145
2.92,plantsend,1,146
2.92838,controllerreceive,1,146
2.93715,plantreceive,1,146
2.94,plantsend,1,147
2.94956,controllerreceive,1,147
2.9584,plantreceive,1,147
2.96,plantsend,1,148
2.96994,controllerreceive,1,148
2.97879,plantreceive,1,148
2.98,plantsend,1,149
2.99,controllerreceive,1,149
2.99872,plantreceive,1,149
3.0,plantsend,1,150
3.00987,controllerreceive,1,150
3.01875,plantreceive,1,150
3.02,plantsend,1,151
3.0281,controllerreceive,1,151
3.03676,plantreceive,1,151
3.04,plantsend,1,152
3.04708,controllerreceive,1,152
3.056,plantreceive,1,152
3.06,plantsend,1,153
3.06984,controllerreceive,1,153
3.07875,plantreceive,1,153
3.08,plantsend,1,154
3.08823,controllerreceive,1,154
3.09707,plantreceive,1,154
3.1,plantsend,1,155
3.10929,controllerreceive,1,155
3.11814,plantreceive,1,155
3.12,plantsend,1,156
3.12835,controllerreceive,1,156
3.13726,plantreceive,1,156
3.14,plantsend,1,157
3.14803,controllerreceive,1,157
3.1569,plantreceive,1,157
3.16,plantsend,1,158
3.16835,controllerreceive,1,158
3.17728,plantreceive,1,158
3.18,plantsend,1,159
3.18825,controllerreceive,1,159
3.19728,plantreceive,1,159
3.2,plantsend,1,160
3.2091,controllerreceive,1,160
3.21795,plantreceive,1,160
3.22,plantsend,1,161
3.22772,controllerreceive,1,161
3.23642,plantreceive,1,161
3.24,plantsend,1,162
3.24816,controllerreceive,1,162
3.25703,plantreceive,1,162
3.26,plantsend,1,163
3.27217,controllerreceive,1,163
3.28,plantsend,1,164
3.28108,plantreceive,1,163
3.28838,controllerreceive,1,164
3.29718,plantreceive,1,164
3.3,plantsend,1,165
3.30821,controllerreceive,1,165
3.31699,plantreceive,1,165
3.32,plantsend,1,166
3.32997,controllerreceive,1,166
3.33899,plantreceive,1,166
3.34,plantsend,1,167
3.34948,controllerreceive,1,167
3.35817,plantreceive,1,167
3.36,plantsend,1,168
3.36924,controllerreceive,1,168
3.37795,plantreceive,1,168
3.38,plantsend,1,169
3.3896,controllerreceive,1,169
3.39837,plantreceive,1,169
3.4,plantsend,1,170
3.40839,controllerreceive,1,170
3.4173,plantreceive,1,170
3.42,plantsend,1,171
3.42836,controllerreceive,1,171
3.43721,plantreceive,1,171
3.44,plantsend,1,172
3.4481,controllerreceive,1,172
3.45692,plantreceive,1,172
3.46,plantsend,1,173
3.46875,controllerreceive,1,173
3.47746,plantreceive,1,173
3.48,plantsend,1,174
3.49039,controllerreceive,1,174
3.49918,plantreceive,1,174
3.5,plantsend,1,175
3.50943,controllerreceive,1,175
3.51811,plantreceive,1,175
3.52,plantsend,1,176
3.5282,controllerreceive,1,176
3.53714,plantreceive,1,176
3.54,plantsend,1,177
3.54755,controllerreceive,1,177
3.55648,plantreceive,1,177
3.56,plantsend,1,178
3.56819,controllerreceive,1,178
3.5769,plantreceive,1,178
3.58,plantsend,1,179
3.58757,controllerreceive,1,179
3.59647,plantreceive,1,179
3.6,plantsend,1,180
3.60824,controllerreceive,1,180
3.61692,plantreceive,1,180
3.62,plantsend,1,181
3.62805,controllerreceive,1,181
3.63672,plantreceive,1,181
3.64,plantsend,1,182
3.6503,controllerreceive,1,182
3.65931,plantreceive,1,182
3.66,plantsend,1,183
3.66837,controllerreceive,1,183
3.67713,plantreceive,1,183
3.68,plantsend,1,184
3.68781,controllerreceive,1,184
3.69651,plantreceive,1,184
3.7,plantsend,1,185
3.7098,controllerreceive,1,185
3.71869,plantreceive,1,185
3.72,plantsend,1,186
3.72822,controllerreceive,1,186
3.73696,plantreceive,1,186
3.74,plantsend,1,187
3.74997,controllerreceive,1,187
3.75903,plantreceive,1,187
3.76,plantsend,1,188
3.76961,controllerreceive,1,188
3.77852,plantreceive,1,188
3.78,plantsend,1,189
3.78841,controllerreceive,1,189
3.79733,plantreceive,1,189
3.8,plantsend,1,190
3.8083,controllerreceive,1,190
3.8171,plantreceive,1,190
3.82,plantsend,1,191
3.82765,controllerreceive,1,191
3.83648,plantreceive,1,191
3.84,plantsend,1,192
3.84821,controllerreceive,1,192
3.85698,plantreceive,1,192
3.86,plantsend,1,193
3.86816,controllerreceive,1,193
3.87698,plantreceive,1,193
3.88,plantsend,1,194
3.88728,controllerreceive,1,194
3.8963,plantreceive,1,194
3.9,plantsend,1,195
3.90774,controllerreceive,1,195
3.91659,plantreceive,1,195
3.92,plantsend,1,196
3.9282,controllerreceive,1,196
3.93709,plantreceive,1,196
3.94,plantsend,1,197
3.94977,controllerreceive,1,197
3.95865,plantreceive,1,197
3.96,plantsend,1,198
3.9697,controllerreceive,1,198
3.97848,plantreceive,1,198
3.98,plantsend,1,199
3.98938,controllerreceive,1,199
3.99812,plantreceive,1,199
4.0,plantsend,1,200
4.0094,controllerreceive,1,200
4.01833,plantreceive,1,200
4.02,plantsend,1,201
4.02935,controllerreceive,1,201
4.03814,plantreceive,1,201
4.04,plantsend,1,202
4.04964,controllerreceive,1,202
4.05845,plantreceive,1,202
4.06,plantsend,1,203
4.06759,controllerreceive,1,203
4.0764,plantreceive,1,203
4.08,plantsend,1,204
4.08936,controllerreceive,1,204
4.0982,plantreceive,1,204
4.1,plantsend,1,205
4.10816,controllerreceive,1,205
4.11694,plantreceive,1,205
4.12,plantsend,1,206
4.12771,controllerreceive,1,206
4.13666,plantreceive,1,206
4.14,plantsend,1,207
4.14974,controllerreceive,1,207
4.15858,plantreceive,1,207
4.16,plantsend,1,208
4.16833,controllerreceive,1,208
4.17729,plantreceive,1,208
4.18,plantsend,1,209
4.18899,controllerreceive,1,209
4.19767,plantreceive,1,209
4.2,plantsend,1,210
4.20853,controllerreceive,1,210
4.21736,plantreceive,1,210
4.22,plantsend,1,211
4.22975,controllerreceive,1,211
4.2384,plantreceive,1,211
4.24,plantsend,1,212
4.24865,controllerreceive,1,212
4.25744,plantreceive,1,212
4.26,plantsend,1,213
4.26881,controllerreceive,1,213
4.27767,plantreceive,1,213
4.28,plantsend,1,214
4.28833,controllerreceive,1,214
4.29731,plantreceive,1,214
4.3,plantsend,1,215
4.30843,controllerreceive,1,215
4.31735,plantreceive,1,215
4.32,plantsend,1,216
4.32836,controllerreceive,1,216
4.33724,plantreceive,1,216
4.34,plantsend,1,217
4.34927,controllerreceive,1,217
4.35813,plantreceive,1,217
4.36,plantsend,1,218
4.3683,controllerreceive,1,218
4.37696,plantreceive,1,218
4.38,plantsend,1,219
4.39197,controllerreceive,1,219
4.4,plantsend,1,220
4.4007,plantreceive,1,219
4.40902,controllerreceive,1,220
4.4159,plantreceive,1,220
4.42,plantsend,1,221
4.42889,controllerreceive,1,221
4.43762,plantreceive,1,221
4.44,plantsend,1,222
4.44818,controllerreceive,1,222
4.45505,plantreceive,1,222
4.46,plantsend,1,223
4.46817,controllerreceive,1,223
4.47696,plantreceive,1,223
4.48,plantsend,1,224
4.48786,controllerreceive,1,224
4.49674,plantreceive,1,224
4.5,plantsend,1,225
4.51024,controllerreceive,1,225
4.51906,plantreceive,1,225
4.52,plantsend,1,226
4.52987,controllerreceive,1,226
4.53876,plantreceive,1,226
4.54,plantsend,1,227
4.54903,controllerreceive,1,227
4.55588,plantreceive,1,227
4.56,plantsend,1,228
4.57028,controllerreceive,1,228
4.5792,plantreceive,1,228
4.58,plantsend,1,229
4.58887,controllerreceive,1,229
4.59761,plantreceive,1,229
4.6,plantsend,1,230
4.60976,controllerreceive,1,230
4.61862,plantreceive,1,230
4.62,plantsend,1,231
4.62944,controllerreceive,1,231
4.63819,plantreceive,1,231
4.64,plantsend,1,232
4.64839,controllerreceive,1,232
4.65709,plantreceive,1,232
4.66,plantsend,1,233
4.66956,controllerreceive,1,233
4.67846,plantreceive,1,233
4.68,plantsend,1,234
4.68822,controllerreceive,1,234
4.69712,plantreceive,1,234
4.7,plantsend,1,235
4.70926,controllerreceive,1,235
4.71816,plantreceive,1,235
4.72,plantsend,1,236
4.73029,controllerreceive,1,236
4.73913,plantreceive,1,236
4.74,plantsend,1,237
4.74874,controllerreceive,1,237
4.7576,plantreceive,1,237
4.76,plantsend,1,238
4.77002,controllerreceive,1,238
4.77874,plantreceive,1,238
4.78,plantsend,1,239
4.78826,controllerreceive,1,239
4.79717,plantreceive,1,239
4.8,plantsend,1,240
4.80775,controllerreceive,1,240
4.81653,plantreceive,1,240
4.82,plantsend,1,241
4.829,controllerreceive,1,241
4.83781,plantreceive,1,241
4.84,plantsend,1,242
4.84831,controllerreceive,1,242
4.85737,plantreceive,1,242
4.86,plantsend,1,243
4.86799,controllerreceive,1,243
4.87686,plantreceive,1,243
4.88,plantsend,1,244
4.88823,controllerreceive,1,244
4.89714,plantreceive,1,244
4.9,plantsend,1,245
4.90819,controllerreceive,1,245
4.91706,plantreceive,1,245
4.92,plantsend,1,246
4.92966,controllerreceive,1,246
4.93845,plantreceive,1,246
4.94,plantsend,1,247
4.9503,controllerreceive,1,247
4.95935,plantreceive,1,247
4.96,plantsend,1,248
4.96821,controllerreceive,1,248
4.97693,plantreceive,1,248
4.98,plantsend,1,249
4.98801,controllerreceive,1,249
4.9969,plantreceive,1,249
5.0,plantsend,1,250
5.00981,controllerreceive,1,250
5.01869,plantreceive,1,250
5.02,plantsend,1,251
5.02884,controllerreceive,1,251
5.03753,plantreceive,1,251
5.04,plantsend,1,252
5.04765,controllerreceive,1,252
5.05452,plantreceive,1,252
5.06,plantsend,1,253
5.06915,controllerreceive,1,253
5.07798,plantreceive,1,253
5.08,plantsend,1,254
5.08827,controllerreceive,1,254
5.09715,plantreceive,1,254
5.1,plantsend,1,255
5.10861,controllerreceive,1,255
5.11742,plantreceive,1,255
5.12,plantsend,1,256
5.13022,controllerreceive,1,256
5.13905,plantreceive,1,256
5.14,plantsend,1,257
5.14862,controllerreceive,1,257
5.15744,plantreceive,1,257
5.16,plantsend,1,258
5.16791,controllerreceive,1,258
5.17675,plantreceive,1,258
5.18,plantsend,1,259
5.1893,controllerreceive,1,259
5.1981,plantreceive,1,259
5.2,plantsend,1,260
5.20766,controllerreceive,1,260
5.2165,plantreceive,1,260
5.22,plantsend,1,261
5.22998,controllerreceive,1,261
5.23882,plantreceive,1,261
